                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.055,                 3.1363,                 1.4111,                0.00759,                0.86424,                0.14835,                0.08898,                0.93957,                 2.9781,                 1.4078,                 0.0847,                 0.0017,                 0.0017
                      1,                0.93208,                 2.8935,                 1.3414,                0.00802,                0.90415,                0.27274,                0.19148,                0.81946,                 2.8317,                 1.3125,               0.068465,              0.0034654,              0.0034654
                      2,                0.97605,                 2.3426,                 1.3761,                0.91603,                0.15889,                0.36077,                0.23892,                 1.0724,                 2.5254,                 1.4591,               0.052195,              0.0051951,              0.0051951
                      3,                 1.0047,                 2.0268,                 1.3328,                0.55757,                0.13149,                0.27679,                0.16915,                 1.6162,                 2.6932,                  1.917,               0.035889,              0.0068891,              0.0068891
                      4,                 1.0074,                 1.8915,                   1.34,                0.62444,                0.26035,                0.39726,                0.22954,                 1.5462,                 2.5868,                 1.8714,               0.019548,              0.0085476,              0.0085476
                      5,                 1.0054,                 1.7649,                 1.3146,                0.58207,                0.40186,                0.41831,                0.28537,                 1.3776,                 2.4127,                 1.7763,               0.009505,               0.009505,               0.009505
                      6,                 1.0245,                  1.741,                 1.3394,                0.52776,                 0.4319,                 0.4253,                0.23687,                 1.4374,                 2.3366,                 1.7851,               0.009505,               0.009505,               0.009505
                      7,                 1.0498,                  1.742,                 1.3622,                0.57224,                0.30609,                0.31455,                0.16709,                 1.5949,                 3.0049,                 1.9354,               0.009406,               0.009406,               0.009406
                      8,                 1.0479,                 1.6749,                 1.3434,                0.51972,                0.43657,                0.47072,                 0.2514,                 1.4825,                 2.2182,                 1.8599,               0.009307,               0.009307,               0.009307
                      9,                 1.0676,                 1.6777,                 1.3517,                0.53894,                0.39056,                0.37195,                0.19067,                 1.5901,                 2.4219,                 2.0342,               0.009208,               0.009208,               0.009208
                     10,                 1.0595,                 1.6592,                 1.3763,                0.69381,                0.46291,                0.50979,                0.28586,                 1.5241,                  2.176,                   1.82,               0.009109,               0.009109,               0.009109
                     11,                 1.0342,                 1.5967,                 1.3516,                0.55845,                0.59529,                0.55744,                0.32052,                 1.4065,                 2.7325,                  1.739,                0.00901,                0.00901,                0.00901
                     12,                 1.1062,                  1.578,                 1.3635,                 0.4193,                0.37538,                0.37155,                0.22417,                 1.6765,                 2.6193,                 2.1383,               0.008911,               0.008911,               0.008911
                     13,                 1.0177,                 1.5208,                 1.3147,                0.54707,                0.42814,                0.46445,                0.25563,                 1.4776,                 2.6951,                 1.9364,               0.008812,               0.008812,               0.008812
                     14,                  1.003,                 1.4164,                 1.3272,                0.49944,                0.40316,                0.33169,                 0.1545,                 2.0518,                 2.5942,                 2.4147,               0.008713,               0.008713,               0.008713
                     15,                 1.0219,                 1.4623,                 1.3362,                0.49615,                0.39224,                0.36889,                0.18223,                 1.9609,                 2.9256,                 2.5404,               0.008614,               0.008614,               0.008614
                     16,                 1.0257,                 1.4361,                 1.3388,                0.73714,                0.58221,                 0.6545,                0.41694,                 1.1788,                      2,                 1.5854,               0.008515,               0.008515,               0.008515
                     17,                0.98991,                 1.3799,                 1.3131,                0.47322,                0.61604,                 0.4805,                 0.2957,                 1.2791,                   2.03,                 1.7661,               0.008416,               0.008416,               0.008416
